date,population,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations
30-01-2020,1380004385,1,1,0,0,0,0,0,0,0,0
31-01-2020,1380004385,1,0,0,0,0,0,0,0,0,0
01-02-2020,1380004385,1,0,0,0,0,0,0,0,0,0
02-02-2020,1380004385,2,1,0,0,0,0,0,0,0,0
03-02-2020,1380004385,3,1,0,0,0,0,0,0,0,0
04-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
05-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
06-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
07-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
08-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
09-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
10-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
11-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
12-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
13-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
14-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
15-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
16-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
17-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
18-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
19-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
20-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
21-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
22-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
23-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
24-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
25-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
26-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
27-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
28-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
29-02-2020,1380004385,3,0,0,0,0,0,0,0,0,0
01-03-2020,1380004385,3,0,0,0,0,0,0,0,0,0
02-03-2020,1380004385,5,2,0,0,0,0,0,0,0,0
03-03-2020,1380004385,5,0,0,0,0,0,0,0,0,0
04-03-2020,1380004385,28,23,0,0,0,0,0,0,0,0
05-03-2020,1380004385,30,2,0,0,0,0,0,0,0,0
06-03-2020,1380004385,31,1,0,0,0,0,0,0,0,0
07-03-2020,1380004385,34,3,0,0,0,0,0,0,0,0
08-03-2020,1380004385,39,5,0,0,0,0,0,0,0,0
09-03-2020,1380004385,43,4,0,0,0,0,0,0,0,0
10-03-2020,1380004385,56,13,0,0,0,0,0,0,0,0
11-03-2020,1380004385,62,6,1,1,0,0,0,0,0,0
12-03-2020,1380004385,73,11,1,0,0,0,0,0,0,0
13-03-2020,1380004385,82,9,2,1,0,6500,0,0,0,0
14-03-2020,1380004385,102,20,2,0,0,0,0,0,0,0
15-03-2020,1380004385,113,11,2,0,0,0,0,0,0,0
16-03-2020,1380004385,119,6,2,0,0,0,0,0,0,0
17-03-2020,1380004385,142,23,3,1,0,0,0,0,0,0
18-03-2020,1380004385,156,14,3,0,0,13125,0,0,0,0
19-03-2020,1380004385,194,38,4,1,191,13316,0,0,0,0
20-03-2020,1380004385,244,50,5,1,1060,14376,0,0,0,0
21-03-2020,1380004385,330,86,4,-1,1325,15701,0,0,0,0
